fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,GDP_value.1,DATE_x,CSENT,Interest_rate
2019,2,5,22,Application Tooling Group,Americas,389,Presses & Terminators,188.0,56410.42,21013.085,21272.448,2019-05-01,100.0,3.0
2019,1,3,10,Application Tooling Group,Americas,389,Presses & Terminators,126.0,107025.12,21706.532,21013.085,2019-03-01,98.4,3.0
2018,4,12,52,Application Tooling Group,Americas,389,Presses & Terminators,185.0,30754.57,20687.278,20819.269,2018-12-01,98.3,3.0
2018,1,1,1,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,50.0,237294.24,20819.269,20155.486,2018-01-01,95.7,2.0
2021,2,5,22,Application Tooling Group,Americas,50,Insertion-Extraction Tools,22044.0,72820.51,22313.85,23046.934,2021-05-01,82.9,0.25
2022,4,10,43,Application Tooling Group,Americas,48,Certified Hand Tools,256.0,180046.95,25723.941,26144.956,2022-10-01,59.9,
2022,1,2,7,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,58.0,100264.9,26144.956,24740.48,2022-02-01,62.8,
2021,1,2,7,Application Tooling Group,Americas,48,Certified Hand Tools,81.0,42940.0,24349.121,22313.85,2021-02-01,76.8,0.25
2021,3,8,32,Application Tooling Group,Americas,148,Powered Crimp Tools,58.0,55025.3,23046.934,23550.42,2021-08-01,70.3,0.25
2021,2,5,20,Application Tooling Group,Americas,48,Certified Hand Tools,159.0,80814.94,22313.85,23046.934,2021-05-01,82.9,0.25
2022,1,3,11,Application Tooling Group,Americas,389,Presses & Terminators,125.0,75577.78,26144.956,24740.48,2022-03-01,59.4,
2022,4,11,48,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,12.0,15441.58,25723.941,26144.956,2022-11-01,56.8,
2021,3,9,39,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,16.0,13059.41,23046.934,23550.42,2021-09-01,72.8,
2016,1,1,3,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,12.0,4360.06,18968.041,18425.306,2016-01-01,92.0,1.0
2021,2,4,17,Application Tooling Group,Americas,43,Pin Insertion Machines,12.0,151351.74,22313.85,23046.934,2021-04-01,88.3,0.25
2021,1,2,8,Application Tooling Group,Americas,43,Pin Insertion Machines,31.0,12321.54,24349.121,22313.85,2021-02-01,76.8,0.25
2021,3,9,37,Application Tooling Group,Americas,43,Pin Insertion Machines,124.0,11817.11,23046.934,23550.42,2021-09-01,72.8,
2021,4,10,42,Application Tooling Group,Americas,389,Presses & Terminators,43.0,20072.46,23550.42,24349.121,2021-10-01,71.7,
2019,2,5,18,Application Tooling Group,Americas,148,Powered Crimp Tools,36.0,33268.28,21013.085,21272.448,2019-05-01,100.0,3.0
2016,2,6,23,Application Tooling Group,Americas,51,Connector Seating Machines,3.0,3950.66,18425.306,18611.617,2016-06-01,93.5,1.0
2019,3,8,32,Application Tooling Group,Americas,150,Miscellaneous Tools,687.0,134797.14,21272.448,21531.839,2019-08-01,89.8,2.75
2015,3,9,38,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,195.0,143150.45,18193.707,18306.96,2015-09-01,87.2,0.75
2015,4,11,44,Application Tooling Group,Americas,42,Assembled Applicators,1723.0,206509.42,18306.96,18332.079,2015-11-01,91.3,0.75
2016,2,5,20,Application Tooling Group,Americas,42,Assembled Applicators,1513.0,209891.14,18425.306,18611.617,2016-05-01,94.7,1.0
2018,1,1,3,Application Tooling Group,Americas,43,Pin Insertion Machines,20.0,32691.65,20819.269,20155.486,2018-01-01,95.7,2.0
2015,3,8,31,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,130.0,15826.84,18193.707,18306.96,2015-08-01,91.9,0.75
2016,4,11,44,Application Tooling Group,Americas,51,Connector Seating Machines,3.0,602.78,18775.459,18968.041,2016-11-01,93.8,1.0
2017,2,6,23,Application Tooling Group,Americas,150,Miscellaneous Tools,438.0,74435.39,19148.194,19304.506,2017-06-01,95.0,1.75
2017,2,4,15,Application Tooling Group,Americas,42,Assembled Applicators,1705.0,248717.08,19148.194,19304.506,2017-04-01,97.0,1.5
2016,3,7,29,Application Tooling Group,Americas,42,Assembled Applicators,1660.0,214955.8,18611.617,18775.459,2016-07-01,90.0,1.0
2015,2,6,26,Application Tooling Group,Americas,389,Presses & Terminators,173.0,87954.37,17991.348,18193.707,2015-06-01,96.1,0.75
2015,2,6,25,Application Tooling Group,Americas,43,Pin Insertion Machines,18.0,19123.74,17991.348,18193.707,2015-06-01,96.1,0.75
2019,1,1,3,Application Tooling Group,Americas,42,Assembled Applicators,4307.0,930431.39,21706.532,21013.085,2019-01-01,91.2,3.0
2016,1,2,8,Application Tooling Group,Americas,389,Presses & Terminators,166.0,355922.39,18968.041,18425.306,2016-02-01,91.7,1.0
2016,2,4,14,Application Tooling Group,Americas,148,Powered Crimp Tools,90.0,71283.85,18425.306,18611.617,2016-04-01,89.0,1.0
2015,3,7,27,Application Tooling Group,Americas,42,Assembled Applicators,1749.0,156975.61,18193.707,18306.96,2015-07-01,93.1,0.75
2019,4,12,51,Application Tooling Group,Americas,148,Powered Crimp Tools,138.0,105403.62,21531.839,21706.532,2019-12-01,99.3,2.25
2017,2,6,23,Application Tooling Group,Americas,50,Insertion-Extraction Tools,24682.0,52979.87,19148.194,19304.506,2017-06-01,95.0,1.75
2016,3,8,35,Application Tooling Group,Americas,150,Miscellaneous Tools,393.0,75329.1,18611.617,18775.459,2016-08-01,89.8,1.0
2017,3,9,39,Application Tooling Group,Americas,150,Miscellaneous Tools,848.0,138093.03,19304.506,19561.896,2017-09-01,95.1,1.75
2018,3,8,31,Application Tooling Group,Americas,150,Miscellaneous Tools,305.0,100235.36,20470.197,20687.278,2018-08-01,96.2,2.5
2017,3,7,27,Application Tooling Group,Americas,42,Assembled Applicators,2059.0,242760.16,19304.506,19561.896,2017-07-01,93.4,1.75
2018,1,3,12,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,61.0,248185.41,20819.269,20155.486,2018-03-01,101.4,2.25
2016,3,9,37,Application Tooling Group,Americas,42,Assembled Applicators,2228.0,237123.73,18611.617,18775.459,2016-09-01,91.2,1.0
2019,2,6,26,Application Tooling Group,Americas,42,Assembled Applicators,2230.0,340354.98,21013.085,21272.448,2019-06-01,98.2,3.0
2016,3,8,35,Application Tooling Group,Americas,389,Presses & Terminators,480.0,92627.75,18611.617,18775.459,2016-08-01,89.8,1.0
2017,1,1,4,Application Tooling Group,Americas,43,Pin Insertion Machines,17.0,13690.17,19894.75,19148.194,2017-01-01,98.5,1.25
2017,3,7,30,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,155.0,34840.62,19304.506,19561.896,2017-07-01,93.4,1.75
2019,2,6,24,Application Tooling Group,Americas,43,Pin Insertion Machines,8.0,8235.38,21013.085,21272.448,2019-06-01,98.2,3.0
2017,4,12,51,Application Tooling Group,Americas,150,Miscellaneous Tools,227.0,40271.88,19561.896,19894.75,2017-12-01,95.9,2.0
2019,2,4,16,Application Tooling Group,Americas,148,Powered Crimp Tools,62.0,82980.71,21013.085,21272.448,2019-04-01,97.2,3.0
2016,3,9,39,Application Tooling Group,Americas,43,Pin Insertion Machines,16.0,49457.15,18611.617,18775.459,2016-09-01,91.2,1.0
2018,2,5,22,Application Tooling Group,Americas,148,Powered Crimp Tools,87.0,134691.8,20155.486,20470.197,2018-05-01,98.0,2.25
2020,3,7,29,Application Tooling Group,Americas,148,Powered Crimp Tools,30.0,85312.21,19636.731,21362.428,2020-07-01,72.5,0.25
2020,1,1,1,Application Tooling Group,Americas,48,Certified Hand Tools,292.0,223455.27,21704.706,21538.032,2020-01-01,99.8,2.25
2021,4,11,48,Application Tooling Group,Americas,51,Connector Seating Machines,2.0,59396.0,23550.42,24349.121,2021-11-01,67.4,
2015,2,4,16,Application Tooling Group,Americas,50,Insertion-Extraction Tools,10312.0,35560.23,17991.348,18193.707,2015-04-01,95.9,0.75
2015,3,9,39,Application Tooling Group,Americas,148,Powered Crimp Tools,103.0,52856.33,18193.707,18306.96,2015-09-01,87.2,0.75
2017,2,6,25,Application Tooling Group,Americas,50,Insertion-Extraction Tools,14978.0,51045.5,19148.194,19304.506,2017-06-01,95.0,1.75
2016,1,1,2,Application Tooling Group,Americas,42,Assembled Applicators,1802.0,210606.88,18968.041,18425.306,2016-01-01,92.0,1.0
2019,2,6,25,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,107.0,66933.76,21013.085,21272.448,2019-06-01,98.2,3.0
2022,3,8,34,Application Tooling Group,Americas,150,Miscellaneous Tools,404.0,159097.92,25248.476,25723.941,2022-08-01,58.2,
2020,3,7,30,Application Tooling Group,Americas,150,Miscellaneous Tools,237.0,58550.46,19636.731,21362.428,2020-07-01,72.5,0.25
2022,3,8,33,Application Tooling Group,Americas,50,Insertion-Extraction Tools,9945.0,43359.45,25248.476,25723.941,2022-08-01,58.2,
2015,1,1,3,Application Tooling Group,Americas,43,Pin Insertion Machines,104.0,67680.19,18332.079,17991.348,2015-01-01,98.1,0.75
2016,3,8,34,Application Tooling Group,Americas,50,Insertion-Extraction Tools,45066.0,60674.04,18611.617,18775.459,2016-08-01,89.8,1.0
2018,3,8,32,Application Tooling Group,Americas,43,Pin Insertion Machines,126.0,19355.32,20470.197,20687.278,2018-08-01,96.2,2.5
2016,2,6,24,Application Tooling Group,Americas,150,Miscellaneous Tools,326.0,61435.4,18425.306,18611.617,2016-06-01,93.5,1.0
2015,4,11,46,Application Tooling Group,Americas,51,Connector Seating Machines,4.0,1146.6,18306.96,18332.079,2015-11-01,91.3,0.75
2017,3,9,38,Application Tooling Group,Americas,148,Powered Crimp Tools,72.0,78609.51,19304.506,19561.896,2017-09-01,95.1,1.75
2016,3,8,31,Application Tooling Group,Americas,43,Pin Insertion Machines,102.0,2880.54,18611.617,18775.459,2016-08-01,89.8,1.0
2019,1,2,6,Application Tooling Group,Americas,43,Pin Insertion Machines,19.0,5953.32,21706.532,21013.085,2019-02-01,93.8,3.0
2016,1,3,10,Application Tooling Group,Americas,48,Certified Hand Tools,171.0,131567.13,18968.041,18425.306,2016-03-01,91.0,1.0
2017,1,1,1,Application Tooling Group,Americas,48,Certified Hand Tools,257.0,114721.66,19894.75,19148.194,2017-01-01,98.5,1.25
2015,2,5,19,Application Tooling Group,Americas,389,Presses & Terminators,249.0,51773.27,17991.348,18193.707,2015-05-01,90.7,0.75
2016,2,5,22,Application Tooling Group,Americas,51,Connector Seating Machines,8.0,6361.6,18425.306,18611.617,2016-05-01,94.7,1.0
2018,3,8,35,Application Tooling Group,Americas,50,Insertion-Extraction Tools,11713.0,55419.72,20470.197,20687.278,2018-08-01,96.2,2.5
2016,3,8,35,Application Tooling Group,Americas,42,Assembled Applicators,3106.0,357965.03,18611.617,18775.459,2016-08-01,89.8,1.0
2016,1,1,4,Application Tooling Group,Americas,43,Pin Insertion Machines,9.0,9993.99,18968.041,18425.306,2016-01-01,92.0,1.0
2020,2,5,18,Application Tooling Group,Americas,51,Connector Seating Machines,0.0,-130.0,21538.032,19636.731,2020-05-01,72.3,0.25
2019,1,3,11,Application Tooling Group,Americas,51,Connector Seating Machines,14.0,292923.88,21706.532,21013.085,2019-03-01,98.4,3.0
2018,4,12,49,Application Tooling Group,Americas,43,Pin Insertion Machines,28.0,11281.66,20687.278,20819.269,2018-12-01,98.3,3.0
2017,2,6,26,Application Tooling Group,Americas,43,Pin Insertion Machines,8.0,3615.52,19148.194,19304.506,2017-06-01,95.0,1.75
2018,1,3,13,Application Tooling Group,Americas,150,Miscellaneous Tools,161.0,21393.26,20819.269,20155.486,2018-03-01,101.4,2.25
2015,3,9,36,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,87.0,12738.65,18193.707,18306.96,2015-09-01,87.2,0.75
2018,2,5,21,Application Tooling Group,Americas,42,Assembled Applicators,1692.0,210750.33,20155.486,20470.197,2018-05-01,98.0,2.25
2022,2,6,23,Application Tooling Group,Americas,389,Presses & Terminators,133.0,32400.24,24740.48,25248.476,2022-06-01,50.0,
2021,2,5,20,Application Tooling Group,Americas,42,Assembled Applicators,2327.0,329055.03,22313.85,23046.934,2021-05-01,82.9,0.25
2021,4,11,45,Application Tooling Group,Americas,42,Assembled Applicators,2258.0,363519.17,23550.42,24349.121,2021-11-01,67.4,
2017,4,12,49,Application Tooling Group,Americas,50,Insertion-Extraction Tools,57947.0,66711.77,19561.896,19894.75,2017-12-01,95.9,2.0
2022,3,9,37,Application Tooling Group,Americas,150,Miscellaneous Tools,440.0,110143.32,25248.476,25723.941,2022-09-01,58.6,
2022,4,10,42,Application Tooling Group,Americas,51,Connector Seating Machines,1.0,15101.0,25723.941,26144.956,2022-10-01,59.9,
2020,4,11,46,Application Tooling Group,Americas,43,Pin Insertion Machines,106.0,477369.52,21362.428,21704.706,2020-11-01,76.9,0.25
2022,2,6,23,Application Tooling Group,Americas,51,Connector Seating Machines,4.0,1834.78,24740.48,25248.476,2022-06-01,50.0,
2020,1,1,4,Application Tooling Group,Americas,148,Powered Crimp Tools,130.0,50013.91,21704.706,21538.032,2020-01-01,99.8,2.25
2017,1,1,1,Application Tooling Group,Americas,43,Pin Insertion Machines,8.0,5008.67,19894.75,19148.194,2017-01-01,98.5,1.25
2015,4,12,50,Application Tooling Group,Americas,43,Pin Insertion Machines,9.0,474543.98,18306.96,18332.079,2015-12-01,92.6,1.0
2019,3,8,31,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,36.0,4832.0,21272.448,21531.839,2019-08-01,89.8,2.75
2022,1,1,4,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,19.0,51893.93,26144.956,24740.48,2022-01-01,67.2,
2021,1,2,7,Application Tooling Group,Americas,50,Insertion-Extraction Tools,21324.0,58117.48,24349.121,22313.85,2021-02-01,76.8,0.25
2019,3,8,31,Application Tooling Group,Americas,148,Powered Crimp Tools,59.0,110143.72,21272.448,21531.839,2019-08-01,89.8,2.75
2018,4,11,44,Application Tooling Group,Americas,148,Powered Crimp Tools,67.0,123228.47,20687.278,20819.269,2018-11-01,97.5,2.75
2018,1,3,10,Application Tooling Group,Americas,148,Powered Crimp Tools,132.0,216326.92,20819.269,20155.486,2018-03-01,101.4,2.25
2018,4,11,46,Application Tooling Group,Americas,150,Miscellaneous Tools,365.0,50678.12,20687.278,20819.269,2018-11-01,97.5,2.75
2019,1,2,8,Application Tooling Group,Americas,389,Presses & Terminators,132.0,23853.3,21706.532,21013.085,2019-02-01,93.8,3.0
2015,1,3,10,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,86.0,226552.3,18332.079,17991.348,2015-03-01,93.0,0.75
2015,2,6,25,Application Tooling Group,Americas,48,Certified Hand Tools,261.0,118014.48,17991.348,18193.707,2015-06-01,96.1,0.75
2019,3,9,39,Application Tooling Group,Americas,43,Pin Insertion Machines,21.0,360171.96,21272.448,21531.839,2019-09-01,93.2,2.5
2015,3,9,37,Application Tooling Group,Americas,43,Pin Insertion Machines,7.0,7178.95,18193.707,18306.96,2015-09-01,87.2,0.75
2020,4,10,42,Application Tooling Group,Americas,42,Assembled Applicators,706.0,730665.66,21362.428,21704.706,2020-10-01,81.8,0.25
2020,3,7,29,Application Tooling Group,Americas,42,Assembled Applicators,854.0,822691.63,19636.731,21362.428,2020-07-01,72.5,0.25
2021,2,6,23,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,16.0,1689.15,22313.85,23046.934,2021-06-01,85.5,0.25
2021,4,11,44,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,113.0,36103.22,23550.42,24349.121,2021-11-01,67.4,
2022,2,5,22,Application Tooling Group,Americas,150,Miscellaneous Tools,391.0,100805.36,24740.48,25248.476,2022-05-01,58.4,
2020,1,3,11,Application Tooling Group,Americas,389,Presses & Terminators,75.0,70447.32,21704.706,21538.032,2020-03-01,89.1,0.25
2020,3,7,28,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,214.0,19794.39,19636.731,21362.428,2020-07-01,72.5,0.25
2022,4,11,48,Application Tooling Group,Americas,51,Connector Seating Machines,8.0,437138.4,25723.941,26144.956,2022-11-01,56.8,
2015,4,10,41,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,53.0,18083.5,18306.96,18332.079,2015-10-01,90.0,0.75
2018,2,6,24,Application Tooling Group,Americas,150,Miscellaneous Tools,493.0,97857.9,20155.486,20470.197,2018-06-01,98.2,2.5
2017,2,5,22,Application Tooling Group,Americas,150,Miscellaneous Tools,444.0,82792.66,19148.194,19304.506,2017-05-01,97.1,1.5
2018,3,9,39,Application Tooling Group,Americas,148,Powered Crimp Tools,115.0,53242.0,20470.197,20687.278,2018-09-01,100.1,2.75
2017,4,12,52,Application Tooling Group,Americas,50,Insertion-Extraction Tools,45451.0,70741.68,19561.896,19894.75,2017-12-01,95.9,2.0
2019,2,6,24,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,40.0,10710.11,21013.085,21272.448,2019-06-01,98.2,3.0
2019,3,9,36,Application Tooling Group,Americas,150,Miscellaneous Tools,983.0,106548.77,21272.448,21531.839,2019-09-01,93.2,2.5
2019,3,8,34,Application Tooling Group,Americas,389,Presses & Terminators,99.0,18522.17,21272.448,21531.839,2019-08-01,89.8,2.75
2019,1,1,2,Application Tooling Group,Americas,42,Assembled Applicators,2458.0,283349.28,21706.532,21013.085,2019-01-01,91.2,3.0
2015,2,4,17,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,77.0,48614.82,17991.348,18193.707,2015-04-01,95.9,0.75
2016,1,3,13,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,19.0,87137.72,18968.041,18425.306,2016-03-01,91.0,1.0
2017,3,7,28,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,18.0,14601.24,19304.506,19561.896,2017-07-01,93.4,1.75
2020,4,10,42,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,30.0,44567.81,21362.428,21704.706,2020-10-01,81.8,0.25
2020,3,9,39,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,80.0,9897.31,19636.731,21362.428,2020-09-01,80.4,0.25
2021,1,3,10,Application Tooling Group,Americas,150,Miscellaneous Tools,609.0,109765.9,24349.121,22313.85,2021-03-01,84.9,0.25
2021,4,12,51,Application Tooling Group,Americas,150,Miscellaneous Tools,446.0,100274.39,23550.42,24349.121,2021-12-01,70.6,
2021,3,8,34,Application Tooling Group,Americas,148,Powered Crimp Tools,22.0,50578.68,23046.934,23550.42,2021-08-01,70.3,0.25
2020,2,4,14,Application Tooling Group,Americas,389,Presses & Terminators,7.0,1469.12,21538.032,19636.731,2020-04-01,71.8,0.25
2020,1,2,9,Application Tooling Group,Americas,48,Certified Hand Tools,21.0,12318.3,21704.706,21538.032,2020-02-01,101.0,2.25
2022,1,1,3,Application Tooling Group,Americas,148,Powered Crimp Tools,43.0,108040.84,26144.956,24740.48,2022-01-01,67.2,
2017,4,10,42,Application Tooling Group,Americas,43,Pin Insertion Machines,25.0,391045.68,19561.896,19894.75,2017-10-01,100.7,1.75
2016,4,12,51,Application Tooling Group,Americas,43,Pin Insertion Machines,25.0,25250.08,18775.459,18968.041,2016-12-01,98.2,1.25
2017,4,11,44,Application Tooling Group,Americas,48,Certified Hand Tools,118.0,67069.29,19561.896,19894.75,2017-11-01,98.5,1.75
2016,3,8,31,Application Tooling Group,Americas,48,Certified Hand Tools,165.0,37977.8,18611.617,18775.459,2016-08-01,89.8,1.0
2018,4,11,47,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,213.0,18737.74,20687.278,20819.269,2018-11-01,97.5,2.75
2018,2,5,21,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,112.0,42618.84,20155.486,20470.197,2018-05-01,98.0,2.25
2019,1,2,7,Application Tooling Group,Americas,389,Presses & Terminators,118.0,293931.43,21706.532,21013.085,2019-02-01,93.8,3.0
2016,4,11,44,Application Tooling Group,Americas,148,Powered Crimp Tools,70.0,71801.77,18775.459,18968.041,2016-11-01,93.8,1.0
2015,4,12,51,Application Tooling Group,Americas,150,Miscellaneous Tools,300.0,52827.08,18306.96,18332.079,2015-12-01,92.6,1.0
2019,1,2,7,Application Tooling Group,Americas,150,Miscellaneous Tools,647.0,142008.83,21706.532,21013.085,2019-02-01,93.8,3.0
2018,2,6,24,Application Tooling Group,Americas,148,Powered Crimp Tools,46.0,96807.99,20155.486,20470.197,2018-06-01,98.2,2.5
2018,2,5,21,Application Tooling Group,Americas,148,Powered Crimp Tools,43.0,38957.87,20155.486,20470.197,2018-05-01,98.0,2.25
2015,2,5,20,Application Tooling Group,Americas,389,Presses & Terminators,81.0,51998.89,17991.348,18193.707,2015-05-01,90.7,0.75
2020,2,5,22,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,38.0,19595.55,21538.032,19636.731,2020-05-01,72.3,0.25
2022,1,1,3,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,3.0,804.93,26144.956,24740.48,2022-01-01,67.2,
2016,1,3,10,Application Tooling Group,Americas,43,Pin Insertion Machines,3.0,1908.3,18968.041,18425.306,2016-03-01,91.0,1.0
2016,1,1,3,Application Tooling Group,Americas,43,Pin Insertion Machines,21.0,10378.34,18968.041,18425.306,2016-01-01,92.0,1.0
2017,4,11,47,Application Tooling Group,Americas,43,Pin Insertion Machines,19.0,8508.87,19561.896,19894.75,2017-11-01,98.5,1.75
2022,4,11,48,Application Tooling Group,Americas,148,Powered Crimp Tools,95.0,64359.33,25723.941,26144.956,2022-11-01,56.8,
2020,1,2,7,Application Tooling Group,Americas,389,Presses & Terminators,175.0,46096.59,21704.706,21538.032,2020-02-01,101.0,2.25
2020,3,9,37,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,105.0,11605.55,19636.731,21362.428,2020-09-01,80.4,0.25
2020,2,5,19,Application Tooling Group,Americas,148,Powered Crimp Tools,31.0,49034.69,21538.032,19636.731,2020-05-01,72.3,0.25
2022,1,1,2,Application Tooling Group,Americas,51,Connector Seating Machines,7.0,11406.0,26144.956,24740.48,2022-01-01,67.2,
2021,3,9,37,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,212.0,58317.8,23046.934,23550.42,2021-09-01,72.8,
2021,1,2,5,Application Tooling Group,Americas,42,Assembled Applicators,2281.0,244311.42,24349.121,22313.85,2021-02-01,76.8,0.25
