fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value
2015,3,7,30,"Aerospace, Defense & Marine",Americas,A15,MTC Crimp,175043.0,598667.82,18193.707
2019,3,8,34,"Aerospace, Defense & Marine",Americas,F43,High Voltage Communication Relays - Kilovac,41.0,18013.08,21272.448
2017,2,5,20,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,1985.0,28394.54,19148.194
2019,1,1,1,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,636.0,3825.29,21706.532
2019,4,11,47,"Aerospace, Defense & Marine",Americas,088,G Series Products,53642.0,94420.49,21531.839
2019,3,9,36,"Aerospace, Defense & Marine",Americas,F43,High Voltage Communication Relays - Kilovac,150.0,27110.26,21272.448
2019,1,3,11,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,5988.0,169529.65,21706.532
2017,4,12,49,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,15121.0,256732.02,19561.896
2019,4,12,51,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,20013.0,142329.92,21531.839
2018,4,10,42,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,9071.0,83994.75,20687.278
2015,1,1,4,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,3041.0,55637.19,18332.079
2015,1,1,4,"Aerospace, Defense & Marine",Americas,F35,Solid State Relays & Electronics CII,569.0,147487.24,18332.079
2016,1,2,5,"Aerospace, Defense & Marine",Americas,LU4,Underwater Mateable Connector,1.0,20698.0,18968.041
2015,2,6,23,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,259.0,8250.18,17991.348
2019,2,6,24,"Aerospace, Defense & Marine",Americas,K79,Rochester EOP,8000.0,18800.0,21013.085
2016,4,12,49,"Aerospace, Defense & Marine",Americas,LV6,Special Charges,2.0,15606.94,18775.459
2020,4,11,44,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,1451.0,341568.06,21362.428
2020,1,1,1,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,9075.42,11596.87,21704.706
2021,4,10,43,"Aerospace, Defense & Marine",Americas,K81,High Speed Copper Assemblies,285.0,88349.81,23550.42
2021,2,5,19,"Aerospace, Defense & Marine",Americas,JF9,CTJ AS81714 Series II,2228.0,45523.68,22313.85
2021,1,2,8,"Aerospace, Defense & Marine",Americas,B55,Rugged Whisper,150.0,27105.0,24349.121
2020,4,10,42,"Aerospace, Defense & Marine",Americas,728,General Multicore W & C,2728.6,56498.69,21362.428
2020,3,7,29,"Aerospace, Defense & Marine",Americas,257,ARINC Products,426.0,29734.25,19636.731
2020,4,12,52,"Aerospace, Defense & Marine",Americas,746,Flex Power Cable,7069.836,139640.39,21362.428
2020,4,10,43,"Aerospace, Defense & Marine",Americas,JC3,Engine,5119.0,149347.48,21362.428
2022,3,8,31,"Aerospace, Defense & Marine",Americas,JC3,Engine,326.0,16820.62,25248.476
2022,3,9,38,"Aerospace, Defense & Marine",Americas,B79,Microdot Micro-D & Rectangular Connectors,1763.0,76155.93,25248.476
2022,4,12,50,"Aerospace, Defense & Marine",Americas,F39,Hartman DC Contactors,105.0,127102.12,25723.941
2022,4,11,47,"Aerospace, Defense & Marine",Americas,088,G Series Products,14650.0,53550.23,25723.941
2021,1,2,9,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,1156.0,29617.4,24349.121
2021,1,3,13,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,182.0,17316.38,24349.121
2021,1,1,4,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,16.0,17762.39,24349.121
2022,2,4,17,"Aerospace, Defense & Marine",Americas,088,G Series Products,126800.0,293350.15,24740.48
2022,2,4,17,"Aerospace, Defense & Marine",Americas,JC4,Other,450.0,420.89,24740.48
2022,4,10,40,"Aerospace, Defense & Marine",Americas,F03,Nanonics Products,46.0,6399.98,25723.941
2022,3,7,27,"Aerospace, Defense & Marine",Americas,E25,RF Coax Connectors,2241.0,45960.08,25248.476
2021,2,5,19,"Aerospace, Defense & Marine",Americas,JD2,369,3807.0,8872.73,22313.85
2022,1,1,4,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,1780.0,103600.92,26144.956
2021,2,4,15,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,13228.015,44369.06,22313.85
2022,3,8,32,"Aerospace, Defense & Marine",Americas,243,AMPLIMITE - Aerospace & Military,65128.0,255351.03,25248.476
2021,1,3,10,"Aerospace, Defense & Marine",Americas,LT6,Dry Mate Connector,3105.0,485165.95,24349.121
2021,2,6,26,"Aerospace, Defense & Marine",Americas,914,55 Cable,536559.251,690650.1,22313.85
2021,1,3,11,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,575.0,23703.36,24349.121
2022,1,2,8,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,1044.0,71937.93,26144.956
2022,2,6,25,"Aerospace, Defense & Marine",Americas,A15,MTC Crimp,21495.0,304208.26,24740.48
2022,2,5,18,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,614.0,18946.18,24740.48
2020,4,11,48,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,5531.0,276933.88,21362.428
2020,4,11,47,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,22913.0,123717.66,21362.428
2021,3,8,32,"Aerospace, Defense & Marine",Americas,JC6,38999 Series III,21730.0,236579.06,23046.934
2021,2,4,17,"Aerospace, Defense & Marine",Americas,JE4,Hermetics North America,2928.0,459099.2,22313.85
2021,4,12,51,"Aerospace, Defense & Marine",Americas,B55,Rugged Whisper,40.0,75832.8,23550.42
2021,3,8,35,"Aerospace, Defense & Marine",Americas,B55,Rugged Whisper,3.0,5822.19,23046.934
2022,1,2,6,"Aerospace, Defense & Marine",Americas,B55,Rugged Whisper,69.0,90488.58,26144.956
2022,4,10,42,"Aerospace, Defense & Marine",Americas,B55,Rugged Whisper,44.0,83416.08,25723.941
2021,3,9,38,"Aerospace, Defense & Marine",Americas,K81,High Speed Copper Assemblies,46.0,52772.9,23046.934
2020,1,2,7,"Aerospace, Defense & Marine",Americas,JE2,Feedthrough,1437.0,242878.0,21704.706
2020,2,6,25,"Aerospace, Defense & Marine",Americas,G49,Mid Range Relays,647.0,46390.79,21538.032
2020,1,2,6,"Aerospace, Defense & Marine",Americas,JC4,Other,95.0,-6992.14,21704.706
2020,1,2,7,"Aerospace, Defense & Marine",Americas,LV6,Special Charges,7.0,225968.52,21704.706
2016,1,3,13,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,1332.0,18498.21,18968.041
2016,1,2,7,"Aerospace, Defense & Marine",Americas,AC9,High Speed Board Level Product,1229.0,91384.99,18968.041
2015,2,6,24,"Aerospace, Defense & Marine",Americas,K78,Rochester Wirelines,328971.334,336785.64,17991.348
2019,3,7,30,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,359513.0,328429.71,21272.448
2015,1,2,9,"Aerospace, Defense & Marine",Americas,JF9,CTJ AS81714 Series II,8271.0,93394.18,18332.079
2017,3,8,32,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,1162.0,37525.31,19304.506
2017,4,11,44,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,395.0,47063.44,19561.896
2017,1,2,8,"Aerospace, Defense & Marine",Americas,K78,Rochester Wirelines,193490.772,115909.32,19894.75
2019,3,9,36,"Aerospace, Defense & Marine",Americas,J89,Micro Circular Connectors,773.0,20793.7,21272.448
2016,2,6,23,"Aerospace, Defense & Marine",Americas,K79,Rochester EOP,27887.14,193260.0,18425.306
2017,1,2,7,"Aerospace, Defense & Marine",Americas,JE2,Feedthrough,444.0,42370.0,19894.75
2015,4,12,50,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,371.0,64686.66,18306.96
2017,3,8,35,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,3300.984,2482.41,19304.506
2018,1,2,8,"Aerospace, Defense & Marine",Americas,573,Auto Sensor Cable,30957.012,41053.98,20819.269
2018,1,2,7,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,1755.0,35735.3,20819.269
2019,1,1,4,"Aerospace, Defense & Marine",Americas,K81,High Speed Copper Assemblies,1208.0,89001.0,21706.532
2017,4,12,49,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,408.0,23280.88,19561.896
2017,1,1,4,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,1368.2,217812.72,19894.75
2015,1,3,12,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,11.0,65299.03,18332.079
2019,3,9,38,"Aerospace, Defense & Marine",Americas,547,MTC Solder,1189.0,27737.06,21272.448
2015,1,3,10,"Aerospace, Defense & Marine",Americas,914,55 Cable,340532.006,536360.74,18332.079
2017,1,3,11,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,198308.0,128652.03,19894.75
2019,1,1,2,"Aerospace, Defense & Marine",Americas,914,55 Cable,232200.904,332757.13,21706.532
2016,4,12,50,"Aerospace, Defense & Marine",Americas,584,Solder Sleeves,667676.0,286808.48,18775.459
2017,4,11,44,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,90305.0,62211.74,19561.896
2017,4,11,48,"Aerospace, Defense & Marine",Americas,915,55 Wire,1580420.75,453239.52,19561.896
2018,2,4,14,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,2430.0,25313.7,20155.486
2017,1,3,10,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,5831.0,65558.73,19894.75
2015,4,11,47,"Aerospace, Defense & Marine",Americas,915,55 Wire,728709.135,230717.16,18306.96
2017,2,5,18,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,221431.0,118664.6,19148.194
2019,3,8,32,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,11065.0,148099.95,21272.448
2016,3,7,27,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,10187.0,67411.73,18611.617
2017,2,6,24,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,11731.752,31589.93,19148.194
2015,3,8,33,"Aerospace, Defense & Marine",Americas,JD1,ABC,3864.0,60292.31,18193.707
2016,4,10,40,"Aerospace, Defense & Marine",Americas,716,Data Bus Components,1060.0,76794.66,18775.459
2018,1,3,10,"Aerospace, Defense & Marine",Americas,716,Data Bus Components,1799.0,103348.45,20819.269
2016,1,2,9,"Aerospace, Defense & Marine",Americas,712,System 6,82000.0,28703.23,18968.041
2015,3,9,39,"Aerospace, Defense & Marine",Americas,712,System 6,352500.0,112477.45,18193.707
2015,1,2,9,"Aerospace, Defense & Marine",Americas,712,System 6,154500.0,59552.96,18332.079
2019,3,9,36,"Aerospace, Defense & Marine",Americas,JE4,Hermetics North America,3030.0,284046.03,21272.448
2018,2,5,20,"Aerospace, Defense & Marine",Americas,257,ARINC Products,4608.0,192801.84,20155.486
2018,1,2,6,"Aerospace, Defense & Marine",Americas,F40,Hartman Panels and Miscellaneous,38.0,-4970.37,20819.269
2019,3,7,27,"Aerospace, Defense & Marine",Americas,F39,Hartman DC Contactors,73.0,96237.77,21272.448
2015,2,5,20,"Aerospace, Defense & Marine",Americas,912,44 Cable,96877.936,96725.36,17991.348
2016,4,11,47,"Aerospace, Defense & Marine",Americas,JD8,Signal,683727.0,165184.57,18775.459
2017,2,5,19,"Aerospace, Defense & Marine",Americas,F39,Hartman DC Contactors,179.0,160030.43,19148.194
2015,1,1,4,"Aerospace, Defense & Marine",Americas,F38,Hartman AC Contactors,406.0,732520.51,18332.079
2016,1,1,4,"Aerospace, Defense & Marine",Americas,LT6,Dry Mate Connector,250.0,42854.2,18968.041
2019,1,2,8,"Aerospace, Defense & Marine",Americas,912,44 Cable,41618.002,68816.37,21706.532
2017,3,9,36,"Aerospace, Defense & Marine",Americas,JE4,Hermetics North America,1546.0,74287.52,19304.506
2015,3,9,37,"Aerospace, Defense & Marine",Americas,914,55 Cable,1019700.167,878199.02,18193.707
2016,1,1,1,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,21902.0,197337.13,18968.041
2015,4,11,47,"Aerospace, Defense & Marine",Americas,JF1,FILTERS,530.0,13487.8,18306.96
2018,4,10,43,"Aerospace, Defense & Marine",Americas,JD8,Signal,3939492.0,454262.03,20687.278
2016,3,9,36,"Aerospace, Defense & Marine",Americas,712,System 6,79500.0,30383.04,18611.617
2019,1,1,3,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,216805.0,142660.45,21706.532
2018,3,8,31,"Aerospace, Defense & Marine",Americas,914,55 Cable,501148.502,580490.0,20470.197
2015,4,10,42,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,13043.915,34501.2,18306.96
2018,4,11,45,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,80052.0,46856.51,20687.278
2019,3,7,30,"Aerospace, Defense & Marine",Americas,JF1,FILTERS,329.0,161694.64,21272.448
2018,1,3,12,"Aerospace, Defense & Marine",Americas,914,55 Cable,683346.362,675366.88,20819.269
2016,4,10,42,"Aerospace, Defense & Marine",Americas,584,Solder Sleeves,437917.0,286892.69,18775.459
2018,1,3,11,"Aerospace, Defense & Marine",Americas,914,55 Cable,382629.461,390678.68,20819.269
2016,4,10,42,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,24626.011,51706.89,18775.459
2019,2,4,14,"Aerospace, Defense & Marine",Americas,584,Solder Sleeves,292025.0,188805.46,21013.085
2015,2,5,18,"Aerospace, Defense & Marine",Americas,350,Miscellaneous,-12.0,907.96,17991.348
2018,1,1,3,"Aerospace, Defense & Marine",Americas,652,Tubing Elastomers TFIT,24359.09,152404.02,20819.269
2018,4,11,45,"Aerospace, Defense & Marine",Americas,716,Data Bus Components,1571.0,92701.02,20687.278
2018,3,9,38,"Aerospace, Defense & Marine",Americas,LV6,Special Charges,6.0,11813.36,20470.197
2017,2,4,16,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,5133.0,15446.76,19148.194
2015,3,7,30,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,10153.0,201936.32,18193.707
2019,3,8,34,"Aerospace, Defense & Marine",Americas,LT7,Wet Pluggable Components,1250.0,80910.94,21272.448
2018,2,5,19,"Aerospace, Defense & Marine",Americas,547,MTC Solder,50.0,914.18,20155.486
2018,3,7,28,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,3597.0,36744.72,20470.197
2018,1,3,12,"Aerospace, Defense & Marine",Americas,A15,MTC Crimp,155724.0,211915.65,20819.269
2016,2,6,26,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,6164.0,236087.59,18425.306
2015,2,5,22,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,15213.6,405086.46,17991.348
2015,1,2,7,"Aerospace, Defense & Marine",Americas,584,Solder Sleeves,473165.0,240638.02,18332.079
2016,4,12,49,"Aerospace, Defense & Marine",Americas,914,55 Cable,681779.991,588168.3,18775.459
2018,1,2,9,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,424453.0,268148.99,20819.269
2017,2,4,14,"Aerospace, Defense & Marine",Americas,914,55 Cable,166518.945,215898.78,19148.194
2018,1,1,2,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,9311.0,81573.83,20819.269
2016,1,2,7,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,317099.0,174075.07,18968.041
2016,4,10,43,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,54382.11,131964.87,18775.459
2019,1,3,11,"Aerospace, Defense & Marine",Americas,582,Aero/DEF Crimp,143088.0,102774.59,21706.532
2019,4,11,47,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,17984.0,152484.91,21531.839
2015,4,10,43,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,27324.71,84320.15,18306.96
2019,1,2,5,"Aerospace, Defense & Marine",Americas,A13,Devices Miscellaneous,8304.0,142687.27,21706.532
2015,1,2,6,"Aerospace, Defense & Marine",Americas,716,Data Bus Components,1396.0,104346.13,18332.079
2016,3,7,27,"Aerospace, Defense & Marine",Americas,567,Blow Molded Parts,5820.0,48621.51,18611.617
2015,3,7,27,"Aerospace, Defense & Marine",Americas,567,Blow Molded Parts,6745.0,61723.37,18193.707
2016,1,2,9,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,18792.0,87521.18,18968.041
2015,4,11,48,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,28392.0,258855.21,18306.96
2019,1,3,10,"Aerospace, Defense & Marine",Americas,685,Filterline Cable,2068.068,8928.13,21706.532
2017,2,6,26,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,5317.0,230151.52,19148.194
2017,4,10,43,"Aerospace, Defense & Marine",Americas,567,Blow Molded Parts,9699.0,102937.09,19561.896
2016,3,8,33,"Aerospace, Defense & Marine",Americas,B79,Microdot Micro-D & Rectangular Connectors,111080.0,267782.47,18611.617
2018,4,12,51,"Aerospace, Defense & Marine",Americas,B79,Microdot Micro-D & Rectangular Connectors,7072.0,156553.65,20687.278
2016,1,3,13,"Aerospace, Defense & Marine",Americas,JC4,Other,15886.864,66982.2,18968.041
2015,4,11,47,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,2213.0,46782.87,18306.96
2016,2,6,23,"Aerospace, Defense & Marine",Americas,F33,Crystal Can Relays,4392.0,126780.67,18425.306
2016,2,4,14,"Aerospace, Defense & Marine",Americas,907,Tinel-Lock,1787.0,30013.5,18425.306
2016,4,11,44,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,19751.0,195615.76,18775.459
2019,1,3,13,"Aerospace, Defense & Marine",Americas,731,TFIT Poly Molded Parts,33408.0,223377.59,21706.532
2017,2,6,23,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,3082.0,50245.45,19148.194
2017,4,11,46,"Aerospace, Defense & Marine",Americas,350,Miscellaneous,3.0,820559.96,19561.896
2017,2,6,26,"Aerospace, Defense & Marine",Americas,B79,Microdot Micro-D & Rectangular Connectors,7190.0,148400.44,19148.194
2018,2,4,16,"Aerospace, Defense & Marine",Americas,912,44 Cable,45199.402,41143.9,20155.486
2016,4,12,50,"Aerospace, Defense & Marine",Americas,912,44 Cable,14750.186,10081.02,18775.459
2015,3,9,36,"Aerospace, Defense & Marine",Americas,JF1,FILTERS,4.0,3819.26,18193.707
2019,2,5,20,"Aerospace, Defense & Marine",Americas,350,Miscellaneous,40458.0,89367.41,21013.085
2018,1,3,10,"Aerospace, Defense & Marine",Americas,JC4,Other,107.0,-67533.52,20819.269
2015,4,11,48,"Aerospace, Defense & Marine",Americas,F41,Solenoids - Kilovac,2759.0,215401.78,18306.96
2017,4,12,52,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,9271.0,239123.91,19561.896
2015,3,7,27,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,1112.0,32362.58,18193.707
2016,2,4,17,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,1445.0,177480.81,18425.306
2016,1,1,4,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,2406.0,57528.91,18968.041
2018,2,5,20,"Aerospace, Defense & Marine",Americas,JD2,369,2851.0,17748.7,20155.486
2019,4,10,40,"Aerospace, Defense & Marine",Americas,JC4,Other,1000.0,-3200.0,21531.839
2018,3,8,32,"Aerospace, Defense & Marine",Americas,299,Box Connectors,2178.0,28970.48,20470.197
2019,3,9,37,"Aerospace, Defense & Marine",Americas,LT7,Wet Pluggable Components,1242.0,74026.98,21272.448
2016,1,3,13,"Aerospace, Defense & Marine",Americas,299,Box Connectors,552.0,30838.89,18968.041
2016,2,5,18,"Aerospace, Defense & Marine",Americas,299,Box Connectors,7799.0,101008.59,18425.306
2015,4,10,43,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,10023.0,314087.02,18306.96
2019,4,12,52,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,2960.0,706926.07,21531.839
2018,2,5,18,"Aerospace, Defense & Marine",Americas,F34,T05 Relays,710.0,19874.82,20155.486
2016,4,12,50,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,2428.0,201404.96,18775.459
2019,4,11,44,"Aerospace, Defense & Marine",Americas,G49,Mid Range Relays,1611.0,93803.28,21531.839
2019,4,11,45,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,18383.0,411743.78,21531.839
2016,4,10,43,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,3209.0,83859.6,18775.459
2015,3,9,39,"Aerospace, Defense & Marine",Americas,A47,Relays/Timers -- Agastat,869.0,175051.51,18193.707
2015,2,5,21,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,19.0,83746.74,17991.348
2019,4,12,51,"Aerospace, Defense & Marine",Americas,B54,Multigig Scalable Interconnect,3719.0,156555.95,21531.839
2016,1,3,11,"Aerospace, Defense & Marine",Americas,JB2,Rochester ROV,13991.732,359293.08,18968.041
2015,3,8,31,"Aerospace, Defense & Marine",Americas,JB2,Rochester ROV,9409.449,99892.44,18193.707
2015,1,2,7,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,10066.0,124813.2,18332.079
2015,2,5,20,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,22130.0,239755.61,17991.348
2015,2,6,23,"Aerospace, Defense & Marine",Americas,AC7,DMC-M Single Cavity,7002.0,107438.88,17991.348
2019,3,8,34,"Aerospace, Defense & Marine",Americas,G49,Mid Range Relays,1468.0,115939.05,21272.448
2018,2,4,14,"Aerospace, Defense & Marine",Americas,547,MTC Solder,99.0,5009.79,20155.486
2015,4,10,43,"Aerospace, Defense & Marine",Americas,JB3,Rochester MUX,13500.0,131625.0,18306.96
2018,3,9,38,"Aerospace, Defense & Marine",Americas,V45,Cable Actuated (String Pots),0.0,-587.0,20470.197
2016,2,6,25,"Aerospace, Defense & Marine",Americas,586,Controlled Electrical,10271.76,73721.31,18425.306
2015,3,8,33,"Aerospace, Defense & Marine",Americas,JC6,38999 Series III,16235.0,104654.77,18193.707
2018,4,11,45,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,334635.0,286815.44,20687.278
2017,2,6,23,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,10941.0,46131.69,19148.194
2015,3,7,28,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,9201.0,29327.01,18193.707
2016,3,9,36,"Aerospace, Defense & Marine",Americas,JC0,38999 Series III Specials,775.0,16118.58,18611.617
2015,3,7,30,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,290759.0,227768.57,18193.707
2016,3,8,34,"Aerospace, Defense & Marine",Americas,G49,Mid Range Relays,3093.0,205202.32,18611.617
2019,3,7,30,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,949.0,87532.26,21272.448
2015,4,12,51,"Aerospace, Defense & Marine",Americas,JC2,Push-pull,553.0,27091.15,18306.96
2016,3,8,35,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,326499.0,259675.24,18611.617
2016,1,1,1,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,218171.0,172277.55,18968.041
2016,3,9,37,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,254216.0,201179.26,18611.617
2018,4,11,47,"Aerospace, Defense & Marine",Americas,F40,Hartman Panels and Miscellaneous,174.0,101784.67,20687.278
2018,3,7,28,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,8669.0,69479.88,20470.197
2017,4,10,42,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,9213.0,1990.34,19561.896
2015,2,5,18,"Aerospace, Defense & Marine",Americas,DA8,MIL-DTL-26482,2780.0,33655.08,17991.348
2019,2,5,22,"Aerospace, Defense & Marine",Americas,088,G Series Products,18500.0,41004.22,21013.085
2015,3,7,28,"Aerospace, Defense & Marine",Americas,Z75,High Power Switching Relays,-78.0,6784.0,18193.707
2015,2,5,20,"Aerospace, Defense & Marine",Americas,088,G Series Products,59715.0,106778.36,17991.348
2015,1,1,1,"Aerospace, Defense & Marine",Americas,088,G Series Products,22403.0,-11833.37,18332.079
2018,3,8,33,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,55040.0,24465.9,20470.197
2018,2,6,23,"Aerospace, Defense & Marine",Americas,088,G Series Products,14090.0,36012.8,20155.486
2019,2,5,21,"Aerospace, Defense & Marine",Americas,088,G Series Products,48590.0,48648.82,21013.085
2015,3,7,30,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,2828.0,79137.59,18193.707
2016,1,2,5,"Aerospace, Defense & Marine",Americas,F43,High Voltage Communication Relays - Kilovac,6620.0,204253.9,18968.041
2017,1,1,4,"Aerospace, Defense & Marine",Americas,553,Miscellaneous MTC,1936.0,49110.72,19894.75
2018,2,6,26,"Aerospace, Defense & Marine",Americas,372,Aluminum Program,27396.0,243459.7,20155.486
2018,2,6,26,"Aerospace, Defense & Marine",Americas,723,Harnesses / Kits,396.0,84998.69,20155.486
2015,3,7,30,"Aerospace, Defense & Marine",Americas,085,Miscellaneous Military Type Products,179446.0,160085.66,18193.707
2018,1,1,3,"Aerospace, Defense & Marine",Americas,C18,ADM Fiber Optic Connectors,2081.0,18390.25,20819.269
2018,4,10,43,"Aerospace, Defense & Marine",Americas,088,G Series Products,98200.0,181725.93,20687.278
