fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,CSENT,Interest_rate,Inflation
2019,1,2,7,Appliances,Americas,G31,VAL-U-LOK,2795188.0,89472.27,21706.532,93.8,3.0,2.376648
2019,4,10,41,Appliances,Americas,G31,VAL-U-LOK,1679086.0,46596.03,21531.839,95.5,2.25,2.733341
2017,3,8,35,Appliances,Americas,G31,VAL-U-LOK,1702243.0,44747.15,19304.506,96.8,1.75,2.089832
2018,1,3,10,Appliances,Americas,G31,VAL-U-LOK,2674848.0,71041.94,20819.269,101.4,2.25,2.369197
2018,4,11,48,Appliances,Americas,518,AMP Univ. and Power Double Lock,2272984.0,42142.15,20687.278,97.5,2.75,2.476794
2016,3,7,29,Appliances,Americas,518,AMP Univ. and Power Double Lock,1109475.0,30882.55,18611.617,90.0,1.0,2.5758512
2017,1,2,5,Appliances,Americas,J35,Power Triple Lock,1174400.0,37618.31,19894.75,96.3,1.25,2.67446
2015,1,3,10,Appliances,Americas,344,Hermetic Cluster Blocks,1929120.0,99771.23,18332.079,93.0,0.75,1.9991371
2018,1,2,6,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,-771.7,20819.269,99.7,2.0,2.131896
2017,4,10,40,Appliances,Americas,344,Hermetic Cluster Blocks,3009050.0,57769.97,19561.896,100.7,1.75,2.192819
2018,4,10,41,Appliances,Americas,344,Hermetic Cluster Blocks,1702670.0,61346.83,20687.278,98.6,2.75,2.414988
2019,3,8,33,Appliances,Americas,103,MTA & SL 156,3613760.0,168537.28,21272.448,89.8,2.75,2.629246
2018,3,9,38,Appliances,Americas,239,MICRO MATE-N-LOK,1093294.0,90419.88,20470.197,100.1,2.75,2.461933
2015,1,2,7,Appliances,Americas,239,MICRO MATE-N-LOK,1352754.0,134447.18,18332.079,95.4,0.75,1.9819969
2018,3,8,35,Appliances,Americas,344,Hermetic Cluster Blocks,768490.0,30238.78,20470.197,96.2,2.5,2.432878
2018,4,12,49,Appliances,Americas,G59,Appliance Miniature PCB Relays,63143.0,35855.59,20687.278,98.3,3.0,2.46437
2017,1,1,1,Appliances,Americas,G59,Appliance Miniature PCB Relays,40000.0,5291.33,19894.75,98.5,1.25,2.661562
2016,2,5,20,Appliances,Americas,G59,Appliance Miniature PCB Relays,24545.0,11459.98,18425.306,94.7,1.0,2.5711572
2015,3,7,29,Appliances,Americas,442,Power Key 5.0,417825.0,17926.93,18193.707,93.1,0.75,2.1414477
2018,4,11,48,Appliances,Americas,766,DW-ES/Auto Splice Seal,512291.4,58047.19,20687.278,97.5,2.75,2.476794
2016,1,3,10,Appliances,Americas,327,Positive Lock,4080516.0,63253.13,18968.041,91.0,1.0,2.531878
2019,2,6,26,Appliances,Americas,766,DW-ES/Auto Splice Seal,1640298.0,264650.3,21013.085,98.2,3.0,2.421751
2017,2,6,25,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1353975.0,43501.8,19148.194,95.0,1.75,2.13853
2019,1,3,13,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,469000.0,29022.71,21706.532,98.4,3.0,2.399684
2016,1,3,11,Appliances,Americas,Z27,Relay T92,5820.0,14364.55,18968.041,91.0,1.0,2.531878
2015,4,11,45,Appliances,Americas,Z27,Relay T92,11910.0,28295.7,18306.96,91.3,0.75,2.4052606
2021,1,3,11,Appliances,Americas,100,Economy Power,4593745.0,69674.93,24349.121,84.9,0.25,1.706984
2021,2,5,21,Appliances,Americas,239,MICRO MATE-N-LOK,1130658.0,124446.73,22313.85,82.9,0.25,2.623164
2021,2,4,16,Appliances,Americas,715,Polyolefins ETC,1523448.6,232217.41,22313.85,88.3,0.25,2.262331
2021,3,9,36,Appliances,Americas,715,Polyolefins ETC,2316447.2,328863.84,23046.934,72.8,,2.638383
2022,1,1,4,Appliances,Americas,104,MTA 100 & CSTII 100,1775623.0,201359.24,26144.956,67.2,,3.988659
2022,3,7,29,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,24841643.0,987942.59,25248.476,51.5,,5.625329
2022,1,1,4,Appliances,Americas,JJ4,RAST 5 non-IDC,1070165.0,71626.87,26144.956,67.2,,3.988659
2022,3,9,37,Appliances,Americas,217,Ultra-Fast,7965595.0,444723.22,25248.476,58.6,,6.392795
2022,4,12,51,Appliances,Americas,766,DW-ES/Auto Splice Seal,-475475.0,16042.23,25723.941,59.7,,6.617223
2021,3,7,28,Appliances,Americas,104,MTA 100 & CSTII 100,4882869.0,283295.11,23046.934,81.2,0.25,2.315464
2021,1,1,4,Appliances,Americas,239,MICRO MATE-N-LOK,542953.0,77956.1,24349.121,79.0,0.25,1.517012
2021,4,10,43,Appliances,Americas,G59,Appliance Miniature PCB Relays,192262.0,153435.08,23550.42,71.7,,3.035619
2022,1,1,3,Appliances,Americas,442,Power Key 5.0,1444000.0,56944.96,26144.956,67.2,,3.988659
2022,2,5,19,Appliances,Americas,442,Power Key 5.0,2101200.0,76592.78,24740.48,58.4,,4.985582
2022,2,5,21,Appliances,Americas,239,MICRO MATE-N-LOK,2164207.0,314751.46,24740.48,58.4,,4.985582
2020,3,7,28,Appliances,Americas,715,Polyolefins ETC,2326298.685,16549.6,19636.731,72.5,0.25,2.348857
2020,4,12,52,Appliances,Americas,G31,VAL-U-LOK,2530382.0,76560.17,21362.428,80.7,0.25,1.716599
2020,4,11,47,Appliances,Americas,J35,Power Triple Lock,3840760.0,202250.75,21362.428,76.9,0.25,1.798587
2022,1,2,6,Appliances,Americas,223,AMPLIVAR,6674249.0,40061.87,26144.956,62.8,,4.30707
2022,1,1,2,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,3928652.0,411211.11,26144.956,67.2,,3.988659
2022,4,11,45,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,33172849.0,824752.64,25723.941,56.8,,6.471178
2021,3,7,27,Appliances,Americas,223,AMPLIVAR,13281800.0,167310.56,23046.934,81.2,0.25,2.315464
2021,4,11,47,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,28719865.0,1388316.55,23550.42,67.4,,3.21432
2021,2,5,20,Appliances,Americas,103,MTA & SL 156,3825968.0,160561.15,22313.85,82.9,0.25,2.623164
2021,1,1,4,Appliances,Americas,518,AMP Univ. and Power Double Lock,3916632.0,54974.31,24349.121,79.0,0.25,1.517012
2020,2,5,20,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,32734011.0,182194.78,21538.032,72.3,0.25,2.084208
2019,2,4,15,Appliances,Americas,Z27,Relay T92,38040.0,82852.68,21013.085,97.2,3.0,2.407927
2015,4,11,48,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,11976049.0,485834.28,18306.96,91.3,0.75,2.4052606
2019,4,11,45,Appliances,Americas,Z27,Relay T92,12120.0,32766.36,21531.839,96.8,2.25,2.768217
2015,4,10,43,Appliances,Americas,239,MICRO MATE-N-LOK,800499.0,73221.66,18306.96,90.0,0.75,2.3462109
2022,1,2,5,Appliances,Americas,903,Appliance Cable Assembly Product,0.0,91023.02,26144.956,62.8,,4.30707
2019,4,12,51,Appliances,Americas,217,Ultra-Fast,7001512.0,277716.97,21531.839,99.3,2.25,2.746361
2019,2,6,25,Appliances,Americas,217,Ultra-Fast,8991359.0,426776.96,21013.085,98.2,3.0,2.421751
2022,4,11,45,Appliances,Americas,104,MTA 100 & CSTII 100,3246105.0,165875.72,25723.941,56.8,,6.471178
2021,4,10,41,Appliances,Americas,094,"Pins, Plugs and Receptacles",2226690.0,78993.82,23550.42,71.7,,3.035619
2022,3,8,33,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,3117700.0,157133.33,25248.476,58.2,,5.991705
2022,3,7,29,Appliances,Americas,100,Economy Power,2076800.0,69772.44,25248.476,51.5,,5.625329
2022,2,6,26,Appliances,Americas,766,DW-ES/Auto Splice Seal,1602103.0,98262.13,24740.48,50.0,,5.422337
2022,4,10,43,Appliances,Americas,766,DW-ES/Auto Splice Seal,517923.0,104164.35,25723.941,59.9,,6.364809
2021,1,1,3,Appliances,Americas,766,DW-ES/Auto Splice Seal,903412.0,74096.24,24349.121,79.0,0.25,1.517012
2021,2,6,24,Appliances,Americas,766,DW-ES/Auto Splice Seal,1173657.0,167678.98,22313.85,85.5,0.25,2.588579
2021,3,9,38,Appliances,Americas,213,Miscellaneous Open Barrel Products,5100500.0,77503.71,23046.934,72.8,,2.638383
2021,3,8,35,Appliances,Americas,G59,Appliance Miniature PCB Relays,194216.0,138549.76,23046.934,70.3,0.25,2.343064
2022,2,6,24,Appliances,Americas,G59,Appliance Miniature PCB Relays,252211.0,150031.88,24740.48,50.0,,5.422337
2022,2,5,20,Appliances,Americas,G31,VAL-U-LOK,2193925.0,121762.24,24740.48,58.4,,4.985582
2018,2,4,14,Appliances,Americas,104,MTA 100 & CSTII 100,2758410.0,176002.92,20155.486,98.8,2.25,2.493423
2019,2,4,15,Appliances,Americas,104,MTA 100 & CSTII 100,4237656.0,240647.37,21013.085,97.2,3.0,2.407927
2016,3,7,30,Appliances,Americas,104,MTA 100 & CSTII 100,2644119.0,168320.45,18611.617,90.0,1.0,2.5758512
2019,2,5,22,Appliances,Americas,095,Appliance Connectors,370900.0,45127.35,21013.085,100.0,3.0,2.39723
2015,4,12,52,Appliances,Americas,095,Appliance Connectors,1063000.0,116434.44,18306.96,92.6,1.0,2.4436874
2017,2,5,19,Appliances,Americas,095,Appliance Connectors,52300.0,7332.59,19148.194,97.1,1.5,2.155911
2018,4,11,44,Appliances,Americas,G31,VAL-U-LOK,1543889.0,45893.87,20687.278,97.5,2.75,2.476794
2019,2,4,17,Appliances,Americas,095,Appliance Connectors,428200.0,46368.46,21013.085,97.2,3.0,2.407927
2016,4,12,49,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,11447302.0,457004.96,18775.459,98.2,1.25,2.594944
2022,3,8,34,Appliances,Americas,766,DW-ES/Auto Splice Seal,2243406.0,135217.67,25248.476,58.2,,5.991705
2021,1,1,4,Appliances,Americas,607,DW-All Other Dual Wall,390400.0,74702.63,24349.121,79.0,0.25,1.517012
2021,4,10,40,Appliances,Americas,G59,Appliance Miniature PCB Relays,87231.0,20800.0,23550.42,71.7,,3.035619
2022,1,3,10,Appliances,Americas,239,MICRO MATE-N-LOK,801020.0,163399.21,26144.956,59.4,,4.558423
2020,3,7,28,Appliances,Americas,104,MTA 100 & CSTII 100,1853637.0,240927.22,19636.731,72.5,0.25,2.348857
2020,1,1,4,Appliances,Americas,Z27,Relay T92,16080.0,31496.64,21704.706,99.8,2.25,2.797067
2020,1,2,9,Appliances,Americas,100,Economy Power,3411330.0,62968.89,21704.706,101.0,2.25,2.812936
2020,3,9,37,Appliances,Americas,J35,Power Triple Lock,3349370.0,123199.89,19636.731,80.4,0.25,2.077391
2021,1,2,8,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,2313506.0,79255.35,24349.121,76.8,0.25,1.527009
2020,3,8,34,Appliances,Americas,518,AMP Univ. and Power Double Lock,1870179.0,42758.02,19636.731,74.1,0.25,2.288978
2020,2,6,24,Appliances,Americas,217,Ultra-Fast,6134946.0,267322.59,21538.032,78.1,0.25,2.058146
2015,4,12,49,Appliances,Americas,095,Appliance Connectors,904300.0,78880.01,18306.96,92.6,1.0,2.4436874
2015,2,6,24,Appliances,Americas,327,Positive Lock,3592157.0,64373.5,17991.348,96.1,0.75,2.1147326
2018,3,8,35,Appliances,Americas,Z27,Relay T92,41550.0,88998.33,20470.197,96.2,2.5,2.432878
2015,3,8,32,Appliances,Americas,103,MTA & SL 156,2864646.0,89589.09,18193.707,91.9,0.75,2.1802398
2015,2,4,17,Appliances,Americas,327,Positive Lock,3396064.0,47639.84,17991.348,95.9,0.75,2.0631236
2015,3,8,33,Appliances,Americas,104,MTA 100 & CSTII 100,2579924.0,134426.69,18193.707,91.9,0.75,2.1802398
2015,4,11,47,Appliances,Americas,104,MTA 100 & CSTII 100,1590380.0,161855.13,18306.96,91.3,0.75,2.4052606
2015,2,5,21,Appliances,Americas,104,MTA 100 & CSTII 100,2404747.0,174483.5,17991.348,90.7,0.75,2.0668869
2019,2,5,21,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,15359481.0,584672.28,21013.085,100.0,3.0,2.39723
2018,2,5,18,Appliances,Americas,095,Appliance Connectors,265400.0,22913.99,20155.486,98.0,2.25,2.544991
2022,4,12,53,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1545400.0,103053.37,25723.941,59.7,,6.617223
2020,1,2,9,Appliances,Americas,607,DW-All Other Dual Wall,271436.0,46370.36,21704.706,101.0,2.25,2.812936
2020,1,2,7,Appliances,Americas,239,MICRO MATE-N-LOK,795640.0,74265.55,21704.706,101.0,2.25,2.812936
2017,2,4,16,Appliances,Americas,094,"Pins, Plugs and Receptacles",2113000.0,27741.38,19148.194,97.0,1.5,2.25217
2018,1,2,7,Appliances,Americas,327,Positive Lock,4142354.0,109565.56,20819.269,99.7,2.0,2.131896
2015,4,11,48,Appliances,Americas,217,Ultra-Fast,4938439.0,115760.29,18306.96,91.3,0.75,2.4052606
2015,4,10,41,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1733593.0,68764.07,18306.96,90.0,0.75,2.3462109
2015,4,12,49,Appliances,Americas,JJ4,RAST 5 non-IDC,1502366.0,73601.66,18306.96,92.6,1.0,2.4436874
2016,1,1,1,Appliances,Americas,212,Open Barrel Rings & Spades,2959922.0,35141.73,18968.041,92.0,1.0,2.4667222
2017,2,5,20,Appliances,Americas,213,Miscellaneous Open Barrel Products,2176000.0,32259.06,19148.194,97.1,1.5,2.155911
2018,1,2,8,Appliances,Americas,212,Open Barrel Rings & Spades,4720034.0,114851.15,20819.269,99.7,2.0,2.131896
2015,4,10,42,Appliances,Americas,607,DW-All Other Dual Wall,775782.578,185940.11,18306.96,90.0,0.75,2.3462109
2019,1,2,5,Appliances,Americas,JJ4,RAST 5 non-IDC,1327590.0,71706.57,21706.532,93.8,3.0,2.376648
2016,2,6,25,Appliances,Americas,094,"Pins, Plugs and Receptacles",1174326.0,21470.15,18425.306,93.5,1.0,2.5689022
2015,3,8,31,Appliances,Americas,213,Miscellaneous Open Barrel Products,3589950.0,44845.68,18193.707,91.9,0.75,2.1802398
2015,3,9,37,Appliances,Americas,217,Ultra-Fast,4794171.0,181246.36,18193.707,87.2,0.75,2.279431
2016,4,12,51,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,29037293.0,502508.07,18775.459,98.2,1.25,2.594944
2017,2,4,16,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,464050.0,22036.5,19148.194,97.0,1.5,2.25217
2016,4,11,46,Appliances,Americas,223,AMPLIVAR,7461560.0,66587.38,18775.459,93.8,1.0,2.5258013
2016,2,5,22,Appliances,Americas,223,AMPLIVAR,7141310.0,55814.87,18425.306,94.7,1.0,2.5711572
2016,3,8,32,Appliances,Americas,217,Ultra-Fast,5448143.0,177615.26,18611.617,89.8,1.0,2.7228064
