fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount
2019,4,11,44,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,508300.000,74475.64
2019,2,4,17,Appliances,EMEA,405,RAST 2.5 Connectors,5124888.000,257195.26
2015,3,8,35,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3521570.000,151398.42
2018,1,2,5,Appliances,EMEA,239,MICRO MATE-N-LOK,246223.000,24192.62
2017,3,8,31,Appliances,EMEA,N05,Timer - Terminals,430200.000,20541.39
2017,1,1,4,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,1016002.000,45394.04
2019,3,9,38,Appliances,EMEA,239,MICRO MATE-N-LOK,1264027.000,50845.70
2016,4,12,51,Appliances,EMEA,G60,Relay RT-Series,96855.000,61999.04
2017,3,7,29,Appliances,EMEA,217,Ultra-Fast,473500.000,29895.27
2018,4,10,43,Appliances,EMEA,607,DW-All Other Dual Wall,57509.000,48823.83
2017,4,11,46,Appliances,EMEA,239,MICRO MATE-N-LOK,1645450.000,83790.27
2019,2,6,24,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1245300.000,106244.84
2016,2,4,17,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1346900.000,139019.63
2018,4,11,44,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1226400.000,114742.03
2016,4,12,52,Appliances,EMEA,217,Ultra-Fast,347200.000,29590.29
2017,4,10,42,Appliances,EMEA,G60,Relay RT-Series,33000.000,20047.14
2019,3,7,30,Appliances,EMEA,G60,Relay RT-Series,5200.000,4628.32
2017,1,2,5,Appliances,EMEA,715,Polyolefins ETC,423802.000,145986.85
2017,1,1,4,Appliances,EMEA,G59,Appliance Miniature PCB Relays,224525.000,69510.57
2016,4,12,49,Appliances,EMEA,394,RAST 5 Connectors,5513120.000,435947.37
2015,3,7,30,Appliances,EMEA,326,FASTIN-FASTON,2470600.000,105526.37
2016,4,12,53,Appliances,EMEA,394,RAST 5 Connectors,5010998.000,416148.09
2018,3,8,31,Appliances,EMEA,326,FASTIN-FASTON,1926970.000,93622.33
2017,2,5,18,Appliances,EMEA,327,Positive Lock,2594500.000,57561.58
2018,4,11,44,Appliances,EMEA,G59,Appliance Miniature PCB Relays,235200.000,60568.80
2019,3,7,30,Appliances,EMEA,JJ4,RAST 5 non-IDC,1438920.000,86213.18
2017,1,2,5,Appliances,EMEA,327,Positive Lock,1996500.000,42078.41
2019,4,12,50,Appliances,EMEA,G59,Appliance Miniature PCB Relays,138000.000,42022.81
2015,4,11,46,Appliances,EMEA,104,MTA 100 & CSTII 100,324000.000,21156.45
2016,3,7,30,Appliances,EMEA,715,Polyolefins ETC,254450.800,106891.03
2017,3,7,27,Appliances,EMEA,104,MTA 100 & CSTII 100,1518000.000,54165.41
2019,4,11,45,Appliances,EMEA,344,Hermetic Cluster Blocks,449700.000,14266.35
2019,3,8,32,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,4646405.000,251747.23
2017,1,1,1,Appliances,EMEA,N02,MQS - Connectors,267380.000,33110.43
2019,2,6,26,Appliances,EMEA,G60,Relay RT-Series,131800.000,74908.39
2015,2,6,26,Appliances,EMEA,405,RAST 2.5 Connectors,3865272.000,199863.20
2019,4,10,42,Appliances,EMEA,405,RAST 2.5 Connectors,4052652.000,216628.18
2015,2,5,20,Appliances,EMEA,715,Polyolefins ETC,289928.600,113533.86
2017,3,7,29,Appliances,EMEA,715,Polyolefins ETC,159213.000,78246.36
2017,3,8,35,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,2932480.000,166273.54
2018,1,1,1,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,7087140.000,345648.21
2018,1,2,7,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,4989910.000,249561.40
2016,1,3,13,Appliances,EMEA,686,Single Wall Fluoropolymers HP,152339.800,4712.83
2018,1,3,10,Appliances,EMEA,327,Positive Lock,3431750.000,58702.38
2019,3,9,37,Appliances,EMEA,JJ4,RAST 5 non-IDC,932750.000,63715.50
2018,2,6,23,Appliances,EMEA,JJ4,RAST 5 non-IDC,1466450.000,90766.27
2015,1,3,12,Appliances,EMEA,327,Positive Lock,1805800.000,45777.20
2015,2,4,14,Appliances,EMEA,N02,MQS - Connectors,170200.000,16974.82
2018,4,10,40,Appliances,EMEA,217,Ultra-Fast,435800.000,27389.59
2015,4,12,49,Appliances,EMEA,217,Ultra-Fast,432800.000,31606.70
2020,1,2,6,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,643200.000,62641.26
2020,3,9,36,Appliances,EMEA,Z34,Relay Special up to 8A,113820.000,27906.25
2021,3,7,27,Appliances,EMEA,224,MAG-MATE,4438500.000,101483.98
2018,2,4,14,Appliances,EMEA,686,Single Wall Fluoropolymers HP,37112.800,62739.44
2016,1,3,10,Appliances,EMEA,A07,Faston Power Relays,116594.000,111946.52
2019,1,3,10,Appliances,EMEA,217,Ultra-Fast,221200.000,20634.09
2019,3,7,27,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3607815.000,196934.32
2016,3,8,32,Appliances,EMEA,G59,Appliance Miniature PCB Relays,224155.000,65858.93
2017,3,8,32,Appliances,EMEA,344,Hermetic Cluster Blocks,1200550.000,3605.39
2019,2,4,15,Appliances,EMEA,344,Hermetic Cluster Blocks,2035000.000,44972.39
2015,2,5,20,Appliances,EMEA,686,Single Wall Fluoropolymers HP,64835.160,16255.26
2016,3,8,34,Appliances,EMEA,217,Ultra-Fast,373600.000,20510.56
2017,2,5,20,Appliances,EMEA,715,Polyolefins ETC,221150.920,93682.77
2018,2,5,22,Appliances,EMEA,715,Polyolefins ETC,724271.080,154932.93
2019,3,7,30,Appliances,EMEA,715,Polyolefins ETC,178790.000,50568.27
2020,4,12,49,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,307000.000,31280.22
2020,3,8,31,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,2599000.000,55541.53
2020,2,4,16,Appliances,EMEA,217,Ultra-Fast,392400.000,33504.76
2020,3,8,35,Appliances,EMEA,344,Hermetic Cluster Blocks,949500.000,28849.95
2020,1,2,5,Appliances,EMEA,394,RAST 5 Connectors,2875904.000,242634.16
2020,1,3,12,Appliances,EMEA,A07,Faston Power Relays,61371.000,57859.52
2020,3,8,31,Appliances,EMEA,327,Positive Lock,1971100.000,46931.50
2020,4,12,52,Appliances,EMEA,217,Ultra-Fast,762800.000,46912.53
2022,2,4,16,Appliances,EMEA,N05,Timer - Terminals,3193200.000,132099.31
2021,4,12,49,Appliances,EMEA,N02,MQS - Connectors,307046.000,39725.99
2022,2,6,23,Appliances,EMEA,394,RAST 5 Connectors,3330388.000,271117.96
2021,2,6,23,Appliances,EMEA,224,MAG-MATE,7953300.000,195786.87
2021,3,7,30,Appliances,EMEA,686,Single Wall Fluoropolymers HP,52959.000,53844.20
2022,4,10,43,Appliances,EMEA,394,RAST 5 Connectors,2977651.000,263573.35
2019,4,12,49,Appliances,EMEA,N02,MQS - Connectors,494700.000,56033.31
2019,3,8,33,Appliances,EMEA,N02,MQS - Connectors,287300.000,30841.68
2019,2,5,19,Appliances,EMEA,344,Hermetic Cluster Blocks,3092000.000,61403.24
2015,4,11,46,Appliances,EMEA,224,MAG-MATE,2578000.000,77545.59
2015,3,9,38,Appliances,EMEA,217,Ultra-Fast,561900.000,42186.10
2019,2,5,21,Appliances,EMEA,394,RAST 5 Connectors,3217912.000,279956.61
2016,2,4,16,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,10968883.000,277180.57
2015,4,11,45,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,7893500.000,189415.74
2016,3,8,32,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,8583500.000,181467.87
2017,2,4,16,Appliances,EMEA,JJ4,RAST 5 non-IDC,2084480.000,88564.28
2018,1,1,1,Appliances,EMEA,394,RAST 5 Connectors,4068294.000,353826.66
2019,4,11,47,Appliances,EMEA,326,FASTIN-FASTON,1664000.000,71542.15
2018,3,7,27,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,5794100.000,162882.44
2019,1,2,6,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6376000.000,175230.98
2017,1,2,8,Appliances,EMEA,G59,Appliance Miniature PCB Relays,193235.000,56869.06
2016,3,9,36,Appliances,EMEA,JJ4,RAST 5 non-IDC,994080.000,67704.10
2019,1,2,6,Appliances,EMEA,326,FASTIN-FASTON,2718400.000,94048.92
2019,4,12,50,Appliances,EMEA,217,Ultra-Fast,63200.000,5805.09
2020,2,5,22,Appliances,EMEA,224,MAG-MATE,4330000.000,107647.42
2020,1,1,3,Appliances,EMEA,344,Hermetic Cluster Blocks,1104000.000,35808.89
2019,4,11,45,Appliances,EMEA,405,RAST 2.5 Connectors,2995944.000,145508.12
2016,2,5,20,Appliances,EMEA,607,DW-All Other Dual Wall,60747.000,92496.22
2017,4,12,50,Appliances,EMEA,Z24,Relay RZ-Series,634300.000,284100.64
2017,1,2,9,Appliances,EMEA,607,DW-All Other Dual Wall,65962.000,81135.83
2015,2,5,22,Appliances,EMEA,G59,Appliance Miniature PCB Relays,186880.000,55269.31
2019,2,5,21,Appliances,EMEA,A07,Faston Power Relays,67344.000,73590.98
2018,3,7,28,Appliances,EMEA,G59,Appliance Miniature PCB Relays,575360.000,131748.17
2015,4,10,42,Appliances,EMEA,Z24,Relay RZ-Series,387125.000,194581.10
2016,3,7,28,Appliances,EMEA,Z34,Relay Special up to 8A,48300.000,12945.66
2016,2,5,19,Appliances,EMEA,G60,Relay RT-Series,55750.000,31292.12
2015,4,11,46,Appliances,EMEA,217,Ultra-Fast,279000.000,14432.65
2018,3,9,36,Appliances,EMEA,686,Single Wall Fluoropolymers HP,33034.000,53835.96
2015,3,9,37,Appliances,EMEA,715,Polyolefins ETC,566975.904,152029.81
2015,1,3,12,Appliances,EMEA,344,Hermetic Cluster Blocks,1550500.000,45861.82
2015,1,1,4,Appliances,EMEA,344,Hermetic Cluster Blocks,2744500.000,48965.36
2016,1,3,10,Appliances,EMEA,607,DW-All Other Dual Wall,19707.000,34400.25
2015,1,3,11,Appliances,EMEA,405,RAST 2.5 Connectors,4674600.000,276454.10
2018,2,4,16,Appliances,EMEA,405,RAST 2.5 Connectors,4870898.000,251665.73
2018,3,8,32,Appliances,EMEA,G60,Relay RT-Series,15600.000,10197.78
2015,2,5,22,Appliances,EMEA,A07,Faston Power Relays,123396.000,142305.04
2019,4,11,44,Appliances,EMEA,A07,Faston Power Relays,30900.000,42937.05
2016,4,11,44,Appliances,EMEA,G59,Appliance Miniature PCB Relays,171000.000,51545.08
2015,4,10,40,Appliances,EMEA,327,Positive Lock,2687900.000,59519.70
2017,1,3,13,Appliances,EMEA,715,Polyolefins ETC,163943.800,64980.21
2019,1,1,4,Appliances,EMEA,217,Ultra-Fast,350600.000,16413.80
2017,4,12,50,Appliances,EMEA,104,MTA 100 & CSTII 100,464400.000,32957.48
2019,3,8,34,Appliances,EMEA,104,MTA 100 & CSTII 100,352700.000,16273.99
2020,3,9,37,Appliances,EMEA,Z34,Relay Special up to 8A,31770.000,8343.41
2019,1,2,9,Appliances,EMEA,344,Hermetic Cluster Blocks,2692100.000,55575.64
2019,4,12,52,Appliances,EMEA,G59,Appliance Miniature PCB Relays,35699.000,15690.47
2015,3,8,32,Appliances,EMEA,224,MAG-MATE,5174812.000,116603.24
2018,3,7,27,Appliances,EMEA,686,Single Wall Fluoropolymers HP,28889.200,37680.78
2017,4,11,46,Appliances,EMEA,224,MAG-MATE,5701000.000,112723.41
2016,3,9,37,Appliances,EMEA,344,Hermetic Cluster Blocks,1483600.000,49393.52
2017,3,7,27,Appliances,EMEA,N02,MQS - Connectors,100300.000,17164.58
2015,4,12,51,Appliances,EMEA,715,Polyolefins ETC,286831.880,94406.59
2015,1,3,12,Appliances,EMEA,715,Polyolefins ETC,344942.550,69732.21
2020,3,7,30,Appliances,EMEA,G60,Relay RT-Series,38100.000,23624.54
2018,1,3,10,Appliances,EMEA,405,RAST 2.5 Connectors,3461432.000,174581.60
2017,1,3,13,Appliances,EMEA,344,Hermetic Cluster Blocks,1757400.000,51020.63
2016,2,4,15,Appliances,EMEA,N02,MQS - Connectors,172500.000,20980.86
2017,1,3,12,Appliances,EMEA,327,Positive Lock,1169500.000,31599.08
2019,2,4,17,Appliances,EMEA,G59,Appliance Miniature PCB Relays,280550.000,75218.60
2017,4,12,49,Appliances,EMEA,217,Ultra-Fast,533600.000,26462.33
2020,3,8,33,Appliances,EMEA,224,MAG-MATE,4191624.000,98512.97
2020,4,11,45,Appliances,EMEA,686,Single Wall Fluoropolymers HP,11825.000,10875.75
2022,4,11,45,Appliances,EMEA,344,Hermetic Cluster Blocks,860500.000,30615.85
2021,1,2,6,Appliances,EMEA,326,FASTIN-FASTON,2041800.000,108529.94
2021,3,8,35,Appliances,EMEA,405,RAST 2.5 Connectors,7219808.000,344623.67
2021,3,8,33,Appliances,EMEA,326,FASTIN-FASTON,2388900.000,116158.11
